[::] Illuminance | temt6000_adc=0 | max44009_lx=0.000000
[::] Illuminance | temt6000_adc=410 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=394 | max44009_lx=399.000000
[::] Illuminance | temt6000_adc=382 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=429 | max44009_lx=424.000000
[::] Illuminance | temt6000_adc=418 | max44009_lx=416.000000
[::] Illuminance | temt6000_adc=383 | max44009_lx=406.000000
[::] Illuminance | temt6000_adc=337 | max44009_lx=355.000000
[::] Illuminance | temt6000_adc=340 | max44009_lx=367.000000
[::] Illuminance | temt6000_adc=345 | max44009_lx=367.000000
[::] Illuminance | temt6000_adc=326 | max44009_lx=342.000000
[::] Illuminance | temt6000_adc=319 | max44009_lx=338.000000
[::] Illuminance | temt6000_adc=355 | max44009_lx=383.000000
[::] Illuminance | temt6000_adc=360 | max44009_lx=375.000000
[::] Illuminance | temt6000_adc=406 | max44009_lx=407.000000
[::] Illuminance | temt6000_adc=391 | max44009_lx=399.000000
[::] Illuminance | temt6000_adc=332 | max44009_lx=350.000000
[::] Illuminance | temt6000_adc=325 | max44009_lx=330.000000
[::] Illuminance | temt6000_adc=324 | max44009_lx=350.000000
[::] Illuminance | temt6000_adc=340 | max44009_lx=359.000000
[::] Illuminance | temt6000_adc=363 | max44009_lx=383.000000
[::] Illuminance | temt6000_adc=387 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=426 | max44009_lx=440.000000
[::] Illuminance | temt6000_adc=443 | max44009_lx=456.000000
[::] Illuminance | temt6000_adc=400 | max44009_lx=399.000000
[::] Illuminance | temt6000_adc=387 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=402 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=403 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=410 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=400 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=398 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=380 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=336 | max44009_lx=342.000000
[::] Illuminance | temt6000_adc=311 | max44009_lx=318.000000
[::] Illuminance | temt6000_adc=341 | max44009_lx=346.000000
[::] Illuminance | temt6000_adc=365 | max44009_lx=375.000000
[::] Illuminance | temt6000_adc=358 | max44009_lx=367.000000
[::] Illuminance | temt6000_adc=353 | max44009_lx=367.000000
[::] Illuminance | temt6000_adc=413 | max44009_lx=416.000000
[::] Illuminance | temt6000_adc=451 | max44009_lx=440.000000
[::] Illuminance | temt6000_adc=463 | max44009_lx=465.000000
[::] Illuminance | temt6000_adc=403 | max44009_lx=399.000000
[::] Illuminance | temt6000_adc=395 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=386 | max44009_lx=391.000000
[::] Illuminance | temt6000_adc=342 | max44009_lx=346.000000
